Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prod/camelcase?text=I%20told%20my%20wife%20she%20should%20embrace%20her%20mistakes.%20She%20gave%20me%20a%20hug.,1,0,129.94570800219662,129.94570800219662,129.94570800219662,129.94570800219662,53.0,0.9053148968115109,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/prod/camelcase?text=I%20told%20my%20wife%20she%20was%20drawing%20her%20eyebrows%20too%20high.%20She%20looked%20surprised.,1,0,71.84199999028351,71.84199999028351,71.84199999028351,71.84199999028351,62.0,0.9053148968115109,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/prod/camelcase?text=I%20used%20to%20play%20piano%20by%20ear%2C%20but%20now%20I%20use%20my%20hands.,1,0,76.56587500241585,76.56587500241585,76.56587500241585,76.56587500241585,40.0,0.9053148968115109,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/prod/camelcase?text=I%27m%20on%20a%20whiskey%20diet.%20I%27ve%20lost%20three%20days%20already.,1,0,64.09108299703803,64.09108299703803,64.09108299703803,64.09108299703803,41.0,0.9053148968115109,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/prod/camelcase?text=I%27m%20reading%20a%20horror%20book%20in%20Braille.%20Something%20bad%20is%20going%20to%20happen%2C%20I%20can%20feel%20it.,1,0,123.24570800410584,123.24570800410584,123.24570800410584,123.24570800410584,68.0,0.9053148968115109,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/prod/camelcase?text=To%20the%20guy%20who%20invented%20zero%2C%20thanks%20for%20nothing.,1,0,47.47583300922997,47.47583300922997,47.47583300922997,47.47583300922997,41.0,0.9053148968115109,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/prod/camelcase?text=Why%20don%27t%20some%20couples%20go%20to%20the%20gym%3F%20Because%20some%20relationships%20don%27t%20work%20out.,1,0,133.4227089973865,133.4227089973865,133.4227089973865,133.4227089973865,65.0,0.9053148968115109,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/prod/camelcase?text=Why%20don%E2%80%99t%20skeletons%20fight%20each%20other%3F%20They%20don%E2%80%99t%20have%20the%20guts.,2,0,154.32116699230392,172.536771002342,154.32116699230392,190.75237501238007,51.0,1.8106297936230218,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/prod/camelcase?text=You%27re%20not%20completely%20useless%2C%20you%20can%20always%20serve%20as%20a%20bad%20example.,1,0,96.72566699737217,96.72566699737217,96.72566699737217,96.72566699737217,57.0,0.9053148968115109,0.0,97,97,97,97,97,97,97,97,97,97,97
,Aggregated,10,0,97,108.83881250047125,47.47583300922997,190.75237501238007,52.9,9.053148968115108,0.0,120,130,130,150,190,190,190,190,190,190,190
